id,docket,party,itemName,erpItemCode,rmItemCode,productCostActual,productCostExpected,productStatus,costActual,costExpected,costStatus,qrStatus,vaPercent,quotedRate
"cmraowze10007o0v3af8xp2dz","GMD003234","Krishna Construction Co.","SITC of PN-1.6, Double Flanged Modulating Type Electrically Operated Butterfly valves with electric actuator generally conforming to IS:13095  800 mm dia.","FBD010121","FBC010121","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraowze10005o0v351lnd1hg","GMD003234","Krishna Construction Co.","SITC of PN-1.6, Double Flanged Modulating Type Electrically Operated Butterfly valves with electric actuator generally conforming to IS:13095 2000 mm dia. PN 1.6","FBC010361","FBD010369","990000","990000","MATCH","1069200","1069200","MATCH","QR_MISMATCH exp~1824696.7","70.66","1824670.00"
"cmraowzoi001no0v3m9rqeill","GMD003248","KALPATARU PROJECTS INTERNATIONAL LIMITED","MANUAL SLUICE VALVENOMINAL DIA (NB)100VALVE RATINGPN 16","FSD030098","RSE100002","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraowzoi001oo0v3jlrkgwzi","GMD003248","KALPATARU PROJECTS INTERNATIONAL LIMITED","MANUAL SLUICE VALVENOMINAL DIA (NB)150VALVE RATINGPN 16","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraowzoi001mo0v3vkgzall4","GMD003248","KALPATARU PROJECTS INTERNATIONAL LIMITED","MANUAL SLUICE VALVENOMINAL DIA (NB)700VALVE RATINGPN 10","FSD040075","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","30",""
"cmraowzoi001so0v3adtl1auc","GMD003248","KALPATARU PROJECTS INTERNATIONAL LIMITED","MANUAL SLUICE VALVENOMINAL DIA (NB)400VALVE RATINGPN 16","FSD040037","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraowzoi001jo0v3e6iobpht","GMD003248","KALPATARU PROJECTS INTERNATIONAL LIMITED","MANUAL SLUICE VALVENOMINAL DIA (NB)100VALVE RATINGPN 10","FSD030098","RSE100002","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraowzop0029o0v35gm4zwz9","GMD003236","OFFSHORE INFRASTRUCTURES LIMITED","Supply, Installation, Testing and Commissioning of following diameter suitable Rating DI Soft Seated Sluice Valves PN 1.0125mm","FRD020008","RSD110034","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraowzop002ho0v30ddzp8l5","GMD003236","OFFSHORE INFRASTRUCTURES LIMITED","Supply, Installation, Testing and Commissioning of following diameter suitable Rating DI Soft Seated Sluice Valves PN 1.6100mm","FSD030098","RSE100002","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraowzop002oo0v3d71igedj","GMD003236","OFFSHORE INFRASTRUCTURES LIMITED","Supply, Installation, Testing and Commissioning of following diameter suitable Rating DI Soft Seated Butterfly ValvesPN 1.0500mm","FBC010041","","","","NO_BOM_FOR_CODE","17000","","PRODUCT_NULL_BUT_COST_EXISTS","QR_OK","35","22950.00"
"cmraowzop002jo0v37jtwyvc6","GMD003236","OFFSHORE INFRASTRUCTURES LIMITED","Supply, Installation, Testing and Commissioning of following diameter suitable Rating DI Soft Seated Sluice Valves PN 1.6200mm","FSC060011","RSD120003","1600","1600","MATCH","1728","1728","MATCH","QR_OK","493.17","10250.00"
"cmraowzop0028o0v3twcx9218","GMD003236","OFFSHORE INFRASTRUCTURES LIMITED","Supply, Installation, Testing and Commissioning of following diameter suitable Rating DI Soft Seated Sluice Valves PN 1.0100mm","FSD030098","RSE100002","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraowzos002xo0v344iv9rc5","GMD003242","SUDHAKARA INFRATECH PRIVATE LIMITED","80 mmm DI DF Resilient seated type Sluice Valve of PN 1.0
Mpa. The valve face to face shall be as per BS:5163 with
flange end as per IS: 1538","FSD040044","RSD110042","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraowzos002wo0v3ax23q0eb","GMD003242","SUDHAKARA INFRATECH PRIVATE LIMITED","150 mmm DI DF Resilient seated type Sluice Valve of PN
1.0 Mpa. The valve face to face shall be as per BS:5163
with flange end as per IS: 1538","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraowzp6003to0v33jkgc8w0","GMD003243","Perfect Valves Pvt.Ltd.","Butterfly Valve 150 mm PN-16, DI, Double Flanged, Short Body, IS 13095","FBD010481","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
"cmraowzp6003uo0v3ituo4ffw","GMD003243","Perfect Valves Pvt.Ltd.","Butterfly Valve 100 mm PN-16, DI, Double Flanged, Short Body, IS 13095","FBD010525","RED140002","","","NULL_BOTH","","","NULL_BOTH","","50",""
"cmraowzz5006yo0v3321uai7v","GMD003250","LCC Projects Limited","DI SLUICE VALVE 150 MM PN16 IS 9523 (M - DI PIPE FITTINGS)","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraowzz5006xo0v34bidxb3a","GMD003250","LCC Projects Limited","DI SLUICE VALVE 100 MM PN16 IS 9523 (M - DI PIPE FITTINGS)","FSD040001","RSD110001","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraowzz5006zo0v3ycwh38pl","GMD003250","LCC Projects Limited","DI SLUICE VALVE 200 MM PN16 IS 9523 (M - DI PIPE FITTINGS)","FSC060011","RSD120003","1600","1600","MATCH","1728","1728","MATCH","QR_OK","493.17","10250.00"
"cmraowzzm007jo0v3lld3git0","GMD003254","VIKRAN ENGINEERING & EXIM PVT. LTD","DI D/F Sluice Valve(Resilient Seated) PN 1.0(Motorized Type)-200 mm","FSD040020","","","","NO_BOM_FOR_CODE","58294","","PRODUCT_NULL_BUT_COST_EXISTS","QR_MISMATCH exp~72867.5","25","72870.00"
"cmraowzzm007eo0v3fj073dzf","GMD003254","VIKRAN ENGINEERING & EXIM PVT. LTD","DI D/F Sluice Valve(Resilient Seated) PN 1.0- 80mm","FSD040044","RSD110042","","","NULL_BOTH","","","NULL_BOTH","","25",""
